person_id,age,disability_status,injury_level,living_status,idl,rtr
P0000,73.4,none,none,with_support,36.6,40.3
P0001,20.1,none,none,alone,81.63,30.24
P0002,59.2,none,none,with_support,43.98,46.01
P0003,12.4,none,life_threatening,alone,83.26,1.43
P0004,21.1,minor,none,with_support,83.62,22.48
P0005,33.7,none,none,alone,69.84,46.45
P0006,58.3,none,minor,alone,59.52,34.47
P0007,35.9,none,moderate,alone,48.06,33.38
P0008,41.6,none,minor,with_support,55.33,35.91
P0009,27.6,none,none,alone,72.66,16.21
P0010,9.6,none,moderate,with_support,83.09,22.17
P0011,33.8,minor,none,with_support,30.21,30.41
P0012,9.3,none,serious,alone,44.9,10.33
P0013,71.8,none,moderate,with_support,47.56,35.28
P0014,8.8,minor,minor,alone,50.08,1.28
P0015,39.7,none,serious,alone,53.87,35.27
P0016,15.2,none,none,with_support,66.66,10.41
P0017,17.3,minor,moderate,with_support,60.97,4.34
P0018,71.5,minor,none,alone,40.15,6.3
P0019,65.6,none,serious,with_support,74.59,14.16
P0020,39.2,none,none,with_support,16.39,3.25
P0021,63.4,minor,minor,with_support,82.33,47.0
P0022,56.4,none,minor,alone,17.85,31.88
P0023,10.8,severe,none,with_support,62.29,13.8
P0024,40.6,none,none,alone,51.73,12.96
P0025,57.5,minor,moderate,with_support,68.53,25.75
P0026,86.7,none,none,with_support,72.78,10.83
P0027,37.0,minor,none,with_support,16.11,47.12
P0028,24.2,none,moderate,with_support,78.37,36.85
P0029,89.7,minor,minor,with_support,41.64,24.53
P0030,38.7,minor,none,alone,69.95,33.6
P0031,5.7,none,none,with_support,43.78,12.51
P0032,20.2,none,minor,alone,91.64,46.14
P0033,77.3,none,life_threatening,alone,64.61,33.52
P0034,22.5,none,minor,with_support,67.2,15.69
P0035,43.0,minor,minor,with_support,53.24,37.52
P0036,67.1,minor,serious,alone,27.99,27.82
P0037,83.7,minor,none,with_support,55.91,36.57
P0038,25.1,minor,none,alone,50.56,41.83
P0039,83.6,severe,none,alone,54.68,6.63
P0040,77.7,severe,none,with_support,59.4,9.73
P0041,13.7,minor,none,with_support,59.68,28.68
P0042,6.9,severe,none,with_support,91.06,5.68
P0043,75.2,none,none,with_support,57.3,37.54
P0044,46.7,severe,none,with_support,25.32,29.32
P0045,32.2,none,life_threatening,with_support,13.71,12.07
P0046,6.8,none,none,with_support,93.3,21.71
P0047,17.8,severe,life_threatening,alone,80.69,17.04
P0048,15.7,none,moderate,with_support,27.61,18.05
P0049,29.1,severe,minor,alone,61.65,35.99
P0050,31.8,none,none,with_support,52.23,21.13
P0051,53.6,none,none,alone,42.88,7.38
P0052,42.0,severe,none,with_support,22.27,31.23
P0053,61.6,minor,none,with_support,52.71,20.55
P0054,12.4,minor,none,with_support,54.05,2.71
P0055,41.3,none,moderate,with_support,58.98,44.4
P0056,6.2,minor,moderate,with_support,85.31,23.28
P0057,72.1,minor,moderate,with_support,93.18,7.39
P0058,60.2,none,moderate,alone,29.51,20.83
P0059,40.7,severe,moderate,with_support,61.81,3.31
P0060,50.4,none,none,alone,91.86,43.97
P0061,52.1,none,minor,with_support,57.78,41.34
P0062,84.2,none,none,alone,44.57,23.19
P0063,45.1,severe,none,with_support,55.65,37.91
P0064,60.0,none,minor,with_support,97.44,25.29
P0065,22.3,none,serious,alone,55.69,46.37
P0066,43.5,minor,minor,with_support,46.28,34.15
P0067,64.7,none,none,with_support,86.37,17.81
P0068,86.6,minor,moderate,with_support,53.77,17.76
P0069,34.0,none,none,alone,91.59,3.53
P0070,19.1,none,minor,alone,80.0,18.87
P0071,23.5,none,minor,alone,69.0,9.19
P0072,59.2,minor,none,alone,26.17,22.49
P0073,9.6,minor,none,alone,76.12,23.93
P0074,72.0,none,none,with_support,63.21,16.29
P0075,25.3,severe,none,with_support,43.48,3.45
P0076,13.8,severe,none,with_support,47.91,38.33
P0077,64.3,severe,serious,with_support,61.68,43.5
P0078,45.8,none,serious,with_support,91.08,14.91
P0079,43.9,minor,serious,with_support,85.37,28.76
P0080,49.7,severe,moderate,with_support,39.59,38.39
P0081,18.0,none,serious,with_support,70.85,23.11
P0082,43.7,none,moderate,with_support,67.86,6.55
P0083,73.6,none,serious,alone,87.99,30.4
P0084,9.5,minor,minor,with_support,61.94,46.29
P0085,26.4,none,minor,with_support,73.03,27.71
P0086,28.9,severe,none,alone,51.8,38.32
P0087,45.0,none,minor,with_support,64.7,44.57
P0088,15.2,none,none,with_support,54.92,1.91
P0089,72.3,none,minor,with_support,31.72,34.94
P0090,88.9,none,minor,with_support,58.36,42.04
P0091,16.6,none,none,with_support,90.97,28.82
P0092,13.0,none,none,with_support,60.52,4.35
P0093,69.0,none,minor,alone,61.56,41.46
P0094,39.7,none,none,alone,19.22,30.76
P0095,35.7,none,moderate,with_support,57.23,40.92
P0096,43.4,none,none,alone,77.63,14.69
P0097,22.9,none,minor,with_support,43.65,44.39
P0098,65.7,none,none,with_support,62.18,39.26
P0099,51.5,minor,moderate,with_support,68.03,18.01
P0100,13.6,none,life_threatening,alone,93.84,40.87
P0101,27.6,none,serious,with_support,27.65,19.15
P0102,65.8,none,none,with_support,77.36,15.07
P0103,50.5,none,none,with_support,82.46,25.18
P0104,69.5,none,minor,alone,70.55,41.87
P0105,9.4,none,none,with_support,99.1,16.07
P0106,29.1,minor,minor,alone,73.39,28.5
P0107,48.7,severe,minor,with_support,98.48,3.68
P0108,47.8,minor,moderate,alone,66.42,21.8
P0109,15.0,none,none,with_support,19.74,20.23
P0110,62.9,none,none,alone,44.13,14.02
P0111,36.4,none,none,with_support,50.81,25.85
P0112,73.2,none,moderate,with_support,85.87,17.83
P0113,13.5,minor,serious,alone,48.75,4.86
P0114,60.1,severe,none,with_support,77.49,2.77
P0115,35.1,none,minor,with_support,47.56,14.34
P0116,12.1,none,moderate,with_support,10.16,20.55
P0117,22.8,none,minor,alone,52.37,11.65
P0118,19.8,none,minor,alone,73.16,27.11
P0119,21.4,none,none,with_support,71.87,9.61
P0120,20.7,none,moderate,alone,69.29,24.69
P0121,36.5,none,none,with_support,18.35,22.05
P0122,40.2,none,moderate,alone,90.67,37.14
P0123,16.2,none,none,with_support,69.62,12.95
P0124,31.0,minor,none,with_support,71.34,19.97
P0125,44.0,none,moderate,with_support,48.5,37.55
P0126,49.4,minor,minor,with_support,60.42,13.75
P0127,6.7,minor,none,with_support,84.52,28.2
P0128,86.1,none,serious,with_support,43.03,32.57
P0129,80.0,none,none,alone,72.36,43.75
P0130,54.1,minor,minor,with_support,87.38,30.02
P0131,19.1,minor,none,with_support,36.02,20.33
P0132,89.0,none,none,alone,58.28,10.01
P0133,35.2,none,none,with_support,48.45,13.4
P0134,45.3,none,moderate,with_support,75.34,26.22
P0135,11.4,none,none,alone,75.36,34.89
P0136,8.6,none,moderate,with_support,22.21,9.27
P0137,44.4,none,none,alone,55.82,13.43
P0138,12.2,none,none,with_support,61.88,28.91
P0139,43.4,minor,minor,with_support,51.59,13.98
P0140,28.6,none,none,alone,72.11,22.42
P0141,56.9,minor,minor,with_support,20.11,45.44
P0142,81.3,none,none,alone,75.32,38.99
P0143,22.4,none,none,with_support,56.96,29.47
P0144,54.0,none,moderate,alone,96.48,41.73
P0145,38.3,none,moderate,with_support,93.47,38.98
P0146,77.6,none,moderate,alone,20.64,17.27
P0147,11.9,severe,minor,with_support,54.6,42.43
P0148,11.7,minor,minor,with_support,80.93,7.0
P0149,10.1,severe,minor,with_support,46.13,31.0
